,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Category,Attribute,Data type,"Mobile Platforms -
IOS
Android
Android TV
Fire TV
Apple TV","Web Platforms -
Web
Tizen
LG 
Web OS",Description,Sample Values,APP_START,APP_FOREGROUND,APP_BACKGROUND,SIGN_UP,LOGIN_INITIATED,LOGIN,LOGOUT,TNC,CONSENT,SEARCH,VIEW_PLANS,SUBSCRIPTION_INITIATED,PAYMENT_INITIATED,PURCHASE_SUBSCRIPTION,PURCHASE_SUBSCRIPTION_CANCEL,PURCHASE_SUBSCRIPTION_FAILURE,CREATE_PROFILE,UPDATE_PROFILE,DELETE_PROFILE,FORGOT_PASSWORD,LINK_DEVICE,REMOVE_DEVICE,VIEW_CONTENT_DETAILS,RENT_CONTENT,FAVORITE_CONTENT,TAB_CLICK,CONTAINER_CLICK,COLLECTION_CLICK,SEARCH_CLICK,EPG_ITEM_CLICK,WATCHLIST_ITEM_CLICK,STOREFRONT_TAB_CHANGE,MENU_TAB_CHANGE,VIEW_COLLECTION_DETAILS,PLAYBACK_START,PLAYBACK_PREPARED,PLAYBACK_STARTED,PLAYBACK_INPROGRESS,PLAYBACK_BUFFERING_START,PLAYBACK_BUFFERING_END,PLAYBACK_SEEK_START,PLAYBACK_SEEK_COMPLETE,PLAYBACK_PAUSED,PLAYBACK_RESUMED,PLAYBACK_STOPPED,PLAYBACK_COMPLETE,PLAYBACK_VARIANT_CHANGE,PLAYBACK_AUDIO_LANGUAGE_CHANGE,PLAYBACK_SUBTITLE_LANGUAGE_CHANGE,NETWORK_CHANGE,ERROR,SKIP_INTRO,SKIP_INTRO,NEXT_EPISODE,DOWNLOAD_START,DOWNLOAD_PREPARED,DOWNLOAD_STARTED,DOWNLOAD_INPROGRESS,DOWNLOAD_PAUSED,DOWNLOAD_RESUMED,DOWNLOAD_STOPPED,DOWNLOAD_COMPLETED,DOWNLOAD_DELETED,DOWNLOAD_LICENSE_RENEWED,AD_BREAK_START,AD_START,AD_END,AD_BREAK_COMPLETE,AD_SKIP,AD_VIEW,BANNER_AD_CLICK,LINK_TO_MOBILE,LINK_TO_EMAIL,VIEW_APP
,,storefrontID,String,Custom,Custom,Storefront identifier,A7EBBEC2-B873-4625-9D31-EA7D93500E7B,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,Y,NA,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,,storefrontName,String,Custom,Custom,Storefront identifier,A7EBBEC2-B873-4625-9D31-EA7D93500E7B,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,Y,NA,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,,tabID,String,Custom,Custom,Tab identifier,E10D473C-412A-4AFC-B687-A401D8916A01,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,Y,NA,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,,tabName,String,Custom,Custom,Tab name,Tab name where the user selected the content to play,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,Y,NA,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,,containerID,String,Custom,Custom,Container identifier,3E0CF0B0-F48F-42E1-A207-780DBD9945A1,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,Y,NA,Y,N,Y,Y,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,,containerName,String,Custom,Custom,Conatiner name,Container name where the user selected the content to play,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,Y,NA,Y,N,Y,Y,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,,collectionID,String,Custom,Custom,Collection identifier,collection_id,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,Y,N,N,Y,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,,collectionName,String,Custom,Custom,Collection name,collection_name,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,Y,N,N,Y,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,,previous_screen,String,Custom,Custom,Previous screen,"Settings, MyContent, Browse",N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,NA,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,NA,NA,NA,NA
,,current_screen,String,Custom,Custom,Current screen,"Settings, MyContent, Browse",N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,NA,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,,favoriteAction,String,Custom,Custom,Favourite clicked,ADD or DELETE,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,NA,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,NA,NA,NA,NA
,,searchString   ,String,Custom,Custom,Search string,Fairchild,N,N,N,N,N,N,N,NA,NA,Y,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,NA,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,NA,NA,NA,NA
,,searchItemPosition,Integer,Custom,Custom,Position of the search result,Position of the search item  based on search result and user click to play,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,NA,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,NA,NA,NA,NA
,,totalItems,Integer,Custom,Custom,Total items returned by search,Search items count,N,N,N,N,N,N,N,NA,NA,Y,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,NA,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,NA,NA,NA,NA
,,planName,String,Custom,Custom,Plan name that the user selected under view plans,"[plan name] monthly, [plan name] yearly, etc.",N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,NA,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,NA,NA,NA,NA
,,displayLanguage,String,Custom,Custom,Display language for app,"App display Language - English, etc.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,prefDownloadOnWifiOnly,Boolean,Custom,Custom,User prefers download on wifi only,TRUE or FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,priceCode,String,Custom,Custom,Price code for TVOD,Credits / Rental price code of a content user chooses to redeem or rent,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,NA,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,NA,NA,NA,NA
,Ads,adType,String,Custom,Custom,Ad type,"Pre, Post, Mid, Banner, Banner-inHouse",N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,NA,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,,adDuration,String,Custom,Custom,Ad duration,duration in sec,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,NA,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,Y,Y,N,Y,N,NA,NA,NA,NA
,,adclickURL,String,Custom,Custom,AD URL,AD URL,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,NA,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,Y,Y,N,Y,Y,NA,NA,NA,NA
,,adskipOffset,String,Custom,Custom,AD skip offset,AD skip offset value,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,NA,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,Y,Y,N,Y,N,NA,NA,NA,NA
,Ops,memUsageMb,String,Default,NA,Memory usage by the app,35,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,,lastInteraction,String,Default,NA,"The last interaction before a crash or harvest event, if one is present.",Display UICompatibilityInputViewController,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,,install,Boolean,Default,NA,"Indicates true only if the current session is the first session after app install.
",TRUE,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,,timeToAppStart,Integer,Custom,Custom,Time to start app (milliseconds),5232,Y,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,NA,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,NA,NA,NA,NA
,,silentLogin,Boolean,Custom,Custom,App silently logged in,TRUE or FALSE,O,Y,Y,N,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,,platform,String,Default,NA,"Platform type of the New Relic SDK agent, such as native or React",Native,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
